Timestamp,When did you get your PhD?,PhD01,"In what year did you first apply for tenure track positions or their equivalents? (Give your answer in terms of years post-PhD; if you applied while still a PhD student, choose ""0"")",FirstApplied01,FirstApplied01NY,"In what year did you get your first on campus interview? (Give your answer in terms of years post-PhD; if it was while you were still a PhD student, choose ""0"")",FirstInterview01,FirstInterview01NY,"In what year did you get your first tenure track job offer? (Give your answer in terms of years post-PhD; if it was while you were still a PhD student, choose ""0"")",FirstOffer01,FirstOffer01NY,Which of the following options made you decide to wait a year (or more) to apply? (Choose up to 3),Gender
2/27/2017 9:48:05,2006,2006,2,2,2,6,6,6,6,6,6,wanted to improve my skills further before becoming a professor,Male
2/27/2017 11:38:45,2014,2014,0,0,0,2,2,2,I haven't received a tenure track job offer yet,?,NY,Wanted to increase the number of publications I had.,Male
2/27/2017 10:29:23,2014,2014,1,1,1,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,wasn't interested in a permanent position yet,Male
2/28/2017 15:54:45,2011,2011,3,3,3,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,wasn't interested in a permanent position yet,Male
3/8/2017 9:14:41,2005,2005,2,2,2,2,2,2,10 or more,10,10,"wasn't interested in a permanent position yet, Was being extremely selective about geography: not much to apply for!",Male
2/27/2017 10:04:05,2008,2008,0,0,0,0,0,0,0,0,0,?,Male
2/27/2017 20:40:23,2009,2009,0,0,0,0,0,0,0,0,0,?,Male
2/27/2017 9:43:37,2010,2010,0,0,0,0,0,0,0,0,0,?,Male
2/27/2017 9:46:39,2017,2017,0,0,0,0,0,0,0,0,0,?,Male
2/28/2017 18:48:22,before 1996,1990,0,0,0,0,0,0,0,0,0,?,Male
2/27/2017 10:39:46,?,?,0,0,0,0,0,0,0,0,0,?,Male
2/27/2017 22:37:45,?,?,0,0,0,0,0,0,0,0,0,?,Male
2/27/2017 10:00:10,2002,2002,0,0,0,1,1,1,1,1,1,?,Male
3/1/2017 0:07:03,2014,2014,0,0,0,1,1,1,1,1,1,?,Male
2/27/2017 10:21:33,2000,2000,1,1,1,1,1,1,1,1,1,?,Male
2/27/2017 20:25:24,2003,2003,1,1,1,1,1,1,1,1,1,?,Male
2/27/2017 10:55:24,2008,2008,0,0,0,0,0,0,2,2,2,?,Male
2/27/2017 10:04:57,2011,2011,0,0,0,1,1,1,2,2,2,?,Male
2/27/2017 11:05:28,2010,2010,0,0,0,2,2,2,2,2,2,?,Male
2/27/2017 13:07:02,2012,2012,0,0,0,2,2,2,2,2,2,?,Male
2/27/2017 20:00:24,2014,2014,1,1,1,2,2,2,2,2,2,?,Male
2/27/2017 12:00:08,2007,2007,0,0,0,1,1,1,3,3,3,?,Male
2/27/2017 11:25:03,2000,2000,0,0,0,2,2,2,4,4,4,?,Male
2/27/2017 11:08:53,2008,2008,0,0,0,3,3,3,4,4,4,?,Male
2/28/2017 5:02:58,2009,2009,0,0,0,3,3,3,4,4,4,?,Male
2/27/2017 9:49:50,2012,2012,0,0,0,4,4,4,4,4,4,?,Male
2/28/2017 10:41:47,2011,2011,1,1,1,2,2,2,5,5,5,?,Male
2/27/2017 9:51:45,2009,2009,0,0,0,6,6,6,6,6,6,?,Male
2/28/2017 12:20:04,1998,1998,0,0,0,5,5,5,7,7,7,?,Male
2/27/2017 14:28:41,2000,2000,0,0,0,5,5,5,8,8,8,?,Male
2/27/2017 14:29:41,2015,2015,0,0,0,1,1,1,I haven't received a tenure track job offer yet,?,NY,?,Male
2/27/2017 10:21:21,2016,2016,0,0,0,1,1,1,I haven't received a tenure track job offer yet,?,NY,?,Male
2/27/2017 13:09:51,2013,2013,0,0,0,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,?,Male
2/27/2017 17:18:56,2015,2015,0,0,0,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,?,Male
2/28/2017 12:21:51,2016,2016,0,0,0,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,?,Male
2/27/2017 10:19:18,2015,2015,1,1,1,2,2,2,I haven't received a tenure track job offer yet,?,NY,?,Male
2/27/2017 10:56:15,2013,2013,1,1,1,3,3,3,I haven't received a tenure track job offer yet,?,NY,?,Male
2/27/2017 13:43:52,2016,2016,1,1,1,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,?,Male
2/27/2017 15:07:29,?,?,0,0,0,0,0,0,?,?,?,?,Male
2/27/2017 15:07:29,?,?,0,0,0,0,0,0,?,?,?,?,Male
3/1/2017 17:23:05,2014,2014,0,0,0,2,2,2,?,?,?,?,Male
2/27/2017 15:12:26,2015,2015,1,1,1,1,1,1,?,?,?,?,Male
2/27/2017 11:03:39,2017,2017,0,0,0,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,lack of opportunity,prefer not to say
2/27/2017 10:46:31,2017,2017,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, advice from PhD or postdoc advisor, advice from other mentors",prefer not to say
2/28/2017 3:49:21,2011,2011,1,1,1,2,2,2,3,3,3,"waited until had received PhD, already committed to a fixed term position (e.g., a postdoctoral position)",prefer not to say
2/27/2017 20:37:38,2003,2003,0,0,0,0,0,0,0,0,0,?,?
2/28/2017 0:33:04,1999,1999,2,2,2,3,3,3,3,3,3,wasn't interested in a permanent position yet,Female
2/28/2017 5:04:14,2017,2017,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had received PhD, waited until had more publications, family responsibilities (including children, eldercare, etc.), advice from PhD or postdoc advisor, it took a while to work up the courage to put myself out there",Male
2/27/2017 13:03:01,2005,2005,3,3,3,3,3,3,3,3,3,"advice from PhD or postdoc advisor, already committed to a fixed term position (e.g., a postdoctoral position), wanted to explore a new research area before committing to TT position",Female
2/27/2017 16:30:35,2015,2015,I haven't applied yet,?,NY,?,?,?,?,?,?,"family responsibilities (including children, eldercare, etc.), advice from other mentors, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 9:41:13,2016,2016,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, it took a while to work up the courage to put myself out there, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 11:58:03,?,?,2,2,2,3,3,3,6,6,6,"waited until had more publications, wasn't interested in a permanent position yet, wanted to explore a new geographic area before committing to a TT position",Female
2/27/2017 10:14:01,2017,2017,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,?,Male
2/27/2017 9:46:41,?,?,?,?,?,?,?,?,?,?,?,?,?
2/27/2017 9:53:14,2015,2015,1,1,1,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"advice from PhD or postdoc advisor, wanted to explore a new research area before committing to TT position, wanted to explore non-tenure track options (e.g., policy, industry)",Female
3/1/2017 0:12:39,2012,2012,4,4,4,?,?,?,?,?,?,"family responsibilities (including children, eldercare, etc.)",Female
2/27/2017 12:26:53,1996,1996,5,5,5,5,5,5,10 or more,10,10,"it took a while to work up the courage to put myself out there, already committed to a fixed term position (e.g., a postdoctoral position), wanted to explore non-tenure track options (e.g., policy, industry)",Female
2/27/2017 9:41:38,2011,2011,2,2,2,4,4,4,4,4,4,waited until had more publications,Female
2/28/2017 2:11:38,before 1996,1990,1,1,1,1,1,1,3,3,3,"waited until had more publications, advice from PhD or postdoc advisor, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 20:25:24,2003,2003,4,4,4,4,4,4,10 or more,10,10,"waited until had more publications, family responsibilities (including children, eldercare, etc.), advice from other mentors, already committed to a fixed term position (e.g., a postdoctoral position)",Female
3/3/2017 10:19:21,2010,2010,2,2,2,3,3,3,3,3,3,"waited until had more publications, it took a while to work up the courage to put myself out there, already committed to a fixed term position (e.g., a postdoctoral position), wanted to explore a new research area before committing to TT position",Female
2/27/2017 9:58:40,2014,2014,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, waited until had more grants or other funding, it took a while to work up the courage to put myself out there",Female
2/27/2017 23:01:49,2016,2016,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, wanted to explore a new research area before committing to TT position",Female
3/14/2017 18:36:56,2015,2015,1,1,1,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,waited until had received PhD,Female
2/27/2017 10:04:19,?,?,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had received PhD, it took a while to work up the courage to put myself out there",Female
2/27/2017 21:40:24,2012,2012,2,2,2,3,3,3,3,3,3,wanted to explore a new research area before committing to TT position,Female
2/27/2017 12:09:53,2015,2015,0,0,0,1,1,1,1,1,1,?,Female
2/28/2017 6:33:28,2016,2016,0,0,0,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,?,Female
3/6/2017 10:34:24,2016,2016,1,1,1,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,?,Female
2/28/2017 11:56:16,before 1996,1990,2,2,2,2,2,2,2,2,2,"family responsibilities (including children, eldercare, etc.), advice from PhD or postdoc advisor, wanted to explore a new research area before committing to TT position",Male
3/3/2017 7:25:46,2006,2006,3,3,3,3,3,3,3,3,3,waited until had more publications,Male
2/27/2017 10:24:15,2012,2012,1,1,1,4,4,4,4,4,4,"waited until had more publications, already committed to a fixed term position (e.g., a postdoctoral position), wanted to explore a new research area before committing to TT position",Male
2/27/2017 20:34:13,2011,2011,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"wanted to explore non-tenure track options (e.g., policy, industry)",Male
2/27/2017 9:43:45,?,?,0,0,0,0,0,0,0,0,0,?,Male
2/27/2017 11:10:18,?,?,0,0,0,0,0,0,0,0,0,?,Male
2/28/2017 6:32:50,2009,2009,2,2,2,2,2,2,2,2,2,"waited until had more publications, advice from other mentors, wasn't interested in a permanent position yet",prefer not to say
